,№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
257,278,Автоматический выключатель,Затвор дисковый К-17 на выходе,N1NDD01AA004,ПС,
258,279,Не открыто,Затвор дисковый Т-21 на выходе,N1NDD02AA002,ДУ,
259,280,Не закрыто,Затвор дисковый Т-21 на выходе,N1NDD02AA002,ДУ,
260,281,превышение момента на открытие,Затвор дисковый Т-21 на выходе,N1NDD02AA002,ДУ,
261,282,превышение момента на закрытие,Затвор дисковый Т-21 на выходе,N1NDD02AA002,ДУ,
262,283,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-21 на выходе,N1NDD02AA002,ДУ,
263,284,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-21 на выходе,N1NDD02AA002,ДУ,
264,285,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-21 на выходе,N1NDD02AA002,ДУ,
265,286,Автоматический выключатель,Затвор дисковый Т-21 на выходе,N1NDD02AA002,ПС,
266,287,Не открыто,Затвор дисковый К-18 на выходе,N1NDD02AA004,ДУ,
267,288,Не закрыто,Затвор дисковый К-18 на выходе,N1NDD02AA004,ДУ,
268,289,превышение момента на открытие,Затвор дисковый К-18 на выходе,N1NDD02AA004,ДУ,
269,290,превышение момента на закрытие,Затвор дисковый К-18 на выходе,N1NDD02AA004,ДУ,
270,291,"сигнал ""Открыть"" от УКП",Затвор дисковый К-18 на выходе,N1NDD02AA004,ДУ,
271,292,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-18 на выходе,N1NDD02AA004,ДУ,
272,293,"сигнал ""Стоп"" от УКП",Затвор дисковый К-18 на выходе,N1NDD02AA004,ДУ,
273,294,Автоматический выключатель,Затвор дисковый К-18 на выходе,N1NDD02AA004,ПС,
274,295,Не открыто,Затвор дисковый Т-22 на выходе,N1NDD03AA002,ДУ,
275,296,Не закрыто,Затвор дисковый Т-22 на выходе,N1NDD03AA002,ДУ,
276,297,превышение момента на открытие,Затвор дисковый Т-22 на выходе,N1NDD03AA002,ДУ,
277,298,превышение момента на закрытие,Затвор дисковый Т-22 на выходе,N1NDD03AA002,ДУ,
